,nome_candidato,uf,partido,estrelas_legisla_int,tempo_mandato,em_exercicio,tipo,gasto_gabinete,producao_legislativa,fiscalizacao,mobilizaca,alinhamento_partidario
376,Marreca Filho,MA,PATRIOTA,3,3,Sim,TITULAR,263535.04,4.9,2.2,3.3,6.4
377,Marx Beltrão,AL,PP,2,3,Sim,TITULAR,194202.66,2.7,1.1,2.4,6.4
378,Maurício Dziedricki,RS,PODE,2,3,Sim,TITULAR,223138.37,3.3,0.0,3.0,6.4
379,Mauro Benevides Filho,CE,PDT,2,3,Sim,TITULAR,112246.49,1.6,1.8,2.1,9.1
380,Mauro Lopes,MG,PP,2,3,Sim,TITULAR,200993.25,2.6,0.9,2.7,7.3
381,Mauro Nazif,RO,PSB,4,3,Sim,TITULAR,57177.64,7.0,0.7,5.2,0.9
382,Merlong Solano,PI,PT,3,3,Sim,SUPLENTE,244127.88,2.8,2.7,3.0,8.2
383,Miguel Haddad,SP,PSDB,1,2,Não,SUPLENTE,53886.49,0.7,0.9,0.6,8.2
384,Miguel Lombardi,SP,PL,2,3,Sim,TITULAR,164971.23,2.4,1.5,1.8,6.4
385,Milton Coelho,PE,PSB,2,1,Sim,SUPLENTE,254933.07,1.7,1.1,2.4,7.3
386,Milton Vieira,SP,REPUBLICANOS,2,3,Sim,TITULAR,169793.49,2.4,0.9,1.8,10.0
387,Misael Varella,MG,PSD,2,3,Sim,TITULAR,184769.85,1.7,1.1,1.5,7.3
388,Moses Rodrigues,CE,UNIÃO,2,3,Sim,TITULAR,215526.96,2.3,1.5,1.8,8.2
389,Natália Bonavides,RN,PT,4,3,Sim,TITULAR,209425.40,6.3,2.5,5.2,9.1
390,Nelson Barbudo,MT,PL,3,3,Sim,TITULAR,268169.58,3.2,0.7,2.1,9.1
391,Nelson Pellegrino,BA,PT,2,0,Não,TITULAR,0.00,1.6,1.8,1.8,10.0
392,Nereu Crispim,RS,PSD,4,3,Sim,TITULAR,225056.98,5.5,1.1,6.1,3.6
393,Neri Geller,MT,PP,2,3,Sim,TITULAR,193805.88,2.7,0.7,2.1,10.0
394,Neucimar Fraga,ES,PP,2,1,Sim,SUPLENTE,208646.35,2.4,1.1,1.8,8.2
395,Newton Cardoso Jr,MG,MDB,3,3,Sim,TITULAR,200424.78,2.7,1.1,4.5,5.5
396,Ney Leprevost,PR,UNIÃO,2,3,Sim,TITULAR,79666.46,1.6,0.0,1.2,10.0
397,Nicoletti,RR,UNIÃO,3,3,Sim,TITULAR,272130.63,4.8,1.6,3.3,7.3
398,Nilson F. Stainsack,SC,PP,1,0,Não,SUPLENTE,0.00,0.5,0.0,0.3,0.0
399,Nilson Pinto,PA,PSDB,2,3,Sim,TITULAR,208239.79,1.5,1.1,1.8,8.2
400,Nilto Tatto,SP,PT,5,3,Sim,TITULAR,197395.17,6.9,4.4,5.2,9.1
401,Nivaldo Albuquerque,AL,REPUBLICANOS,3,3,Sim,TITULAR,195278.91,4.4,1.5,3.9,8.2
402,Norma Ayub,ES,PP,3,3,Sim,TITULAR,148907.21,3.5,1.3,3.6,2.7
403,Norma Pereira,SC,PSDB,1,1,Não,SUPLENTE,0.00,0.2,0.0,0.6,10.0
404,Odair Cunha,MG,PT,3,3,Sim,TITULAR,155694.92,2.2,1.3,4.5,7.3
405,Odorico Monteiro,CE,PSB,2,0,Não,SUPLENTE,0.00,1.3,0.5,1.2,10.0
406,Olival Marques,PA,MDB,2,3,Sim,TITULAR,236448.89,2.2,0.4,1.5,8.2
407,Orlando Silva,SP,PCdoB,4,3,Sim,TITULAR,183082.72,5.0,2.7,6.7,8.2
408,Osires Damaso,TO,PSC,2,3,Não,TITULAR,204109.13,2.4,1.1,2.4,7.3
409,Osmar Terra,RS,MDB,2,3,Sim,TITULAR,200892.91,1.4,0.9,1.5,2.7
410,Ossesio Silva,PE,REPUBLICANOS,3,3,Sim,TITULAR,192955.52,3.6,1.8,3.3,10.0
411,Otavio Leite,RJ,PSDB,2,0,Não,SUPLENTE,73346.78,2.0,1.1,2.1,7.3
412,Otoni de Paula,RJ,MDB,3,3,Sim,TITULAR,177973.55,3.4,0.5,3.9,6.4
413,Ottaci Nascimento,RR,SOLIDARIEDADE,2,3,Sim,TITULAR,215887.77,1.6,0.0,1.8,8.2
414,Otto Alencar Filho,BA,PSD,3,3,Sim,TITULAR,178448.56,4.3,0.9,3.0,0.9
415,Padre João,MG,PT,4,3,Sim,TITULAR,203018.48,4.0,2.2,6.4,9.1
416,Paes Landim,PI,UNIÃO,2,3,Sim,SUPLENTE,86731.26,0.8,0.4,1.8,10.0
417,Pastor Eurico,PE,PL,3,3,Sim,TITULAR,187948.15,4.0,1.3,3.3,8.2
418,Pastor Gil,MA,PL,3,3,Sim,TITULAR,209648.75,3.4,0.7,3.3,7.3
419,Pastor Sargento Isidório,BA,AVANTE,2,3,Sim,TITULAR,62998.90,4.2,0.0,2.4,0.9
420,Patricia Ferraz,AP,PODE,2,0,Não,SUPLENTE,0.00,2.0,0.4,2.7,10.0
421,Patrick Dorneles,PB,PSD,1,0,Não,SUPLENTE,50224.83,0.5,0.4,0.0,9.1
422,Patrus Ananias,MG,PT,5,3,Sim,TITULAR,225398.54,5.3,4.4,5.5,9.1
423,Paula Belmonte,DF,CIDADANIA,5,3,Sim,TITULAR,0.00,6.4,3.6,8.8,0.9
424,Paulão,AL,PT,3,3,Sim,TITULAR,133449.02,3.5,2.2,4.8,9.1
425,Paulo Abi-Ackel,MG,PSDB,2,3,Sim,TITULAR,178058.77,3.0,1.1,2.1,7.3
426,Paulo Azi,BA,UNIÃO,2,3,Sim,TITULAR,194879.95,2.4,1.1,2.7,7.3
427,Paulo Bengtson,PA,PTB,4,3,Sim,TITULAR,204464.91,6.0,0.9,3.9,7.3
428,Paulo Eduardo Martins,PR,PL,3,3,Sim,TITULAR,28535.07,4.7,1.3,3.0,0.9
429,Paulo Freire Costa,SP,PL,2,3,Sim,TITULAR,140476.97,1.7,1.3,0.9,8.2
430,Paulo Ganime,RJ,NOVO,5,3,Sim,TITULAR,30552.52,6.3,4.7,5.5,9.1
431,Paulo Guedes,MG,PT,3,3,Sim,TITULAR,196045.82,3.5,2.4,5.8,9.1
432,Paulo Magalhães,BA,PSD,2,3,Sim,SUPLENTE,201025.40,2.0,0.4,0.9,4.5
433,Paulo Marinho Jr,MA,PL,1,2,Sim,SUPLENTE,91445.55,0.6,0.0,0.3,10.0
434,Paulo Pimenta,RS,PT,4,3,Sim,TITULAR,170207.06,4.4,3.5,5.8,8.2
435,Paulo Ramos,RJ,PDT,4,3,Sim,TITULAR,194003.39,5.9,3.5,5.5,6.4
436,Paulo Teixeira,SP,PT,5,3,Sim,TITULAR,168107.20,7.0,4.4,8.5,9.1
437,Paulo Vicente Caleffi,RS,PSD,2,0,Não,SUPLENTE,89352.98,1.1,0.0,1.2,9.1
438,Pedro Augusto Bezerra,CE,PDT,3,3,Sim,TITULAR,239320.73,4.4,1.3,4.5,0.9
439,Pedro Augusto Palareti,RJ,PP,2,1,Sim,SUPLENTE,198645.18,1.1,0.5,0.6,8.2
440,Pedro Cunha Lima,PB,PSDB,3,3,Sim,TITULAR,7544.02,2.6,2.4,2.7,3.6
441,Pedro Dalua,AP,PSC,1,0,Não,SUPLENTE,77241.56,0.5,0.2,0.9,10.0
442,Pedro Lucas Fernandes,MA,UNIÃO,3,3,Sim,TITULAR,216765.25,4.8,1.5,3.6,6.4
443,Pedro Lupion,PR,PP,3,3,Sim,TITULAR,209411.27,4.4,1.3,3.6,5.5
444,Pedro Paulo,RJ,PSD,2,3,Sim,TITULAR,120501.18,1.8,1.5,1.8,8.2
445,Pedro Uczai,SC,PT,5,3,Sim,TITULAR,144819.79,5.6,3.6,7.3,8.2
446,Pedro Vilela,AL,PSDB,2,1,Sim,SUPLENTE,246363.32,2.2,1.8,2.4,7.3
447,Pedro Westphalen,RS,PP,3,3,Sim,TITULAR,244406.18,3.6,0.9,4.8,9.1
448,Perpétua Almeida,AC,PCdoB,5,3,Sim,TITULAR,195428.85,7.0,2.4,7.9,8.2
449,Pinheirinho,MG,PP,3,3,Sim,TITULAR,173763.00,3.5,1.3,2.7,9.1
450,Policial Katia Sastre,SP,PL,3,3,Sim,TITULAR,218056.92,3.8,1.5,3.6,6.4
451,Pompeo de Mattos,RS,PDT,5,3,Sim,TITULAR,237411.88,8.0,0.7,7.0,3.6
452,Pr. Marco Feliciano,SP,PL,2,3,Sim,TITULAR,96473.81,2.2,2.0,2.1,6.4
453,Professor Alcides,GO,PL,2,3,Sim,TITULAR,208748.52,2.4,1.1,2.4,9.1
454,Professor Israel Batista,DF,PSB,4,3,Sim,TITULAR,156743.86,5.2,3.3,6.7,0.9
455,Professor Joziel,RJ,PATRIOTA,2,3,Sim,TITULAR,208233.00,3.0,1.3,1.8,6.4
456,Professora Dayane Pimentel,BA,UNIÃO,2,3,Sim,TITULAR,166590.13,2.8,1.3,2.4,0.9
457,Professora Dorinha Seabra Rezende,TO,UNIÃO,3,3,Não,TITULAR,191088.23,4.4,1.8,5.2,2.7
458,Professora Marcivania,AP,PCdoB,3,3,Sim,TITULAR,201693.16,2.8,2.5,3.3,9.1
459,Professora Rosa Neide,MT,PT,5,3,Sim,TITULAR,235617.88,5.7,4.0,7.0,8.2
460,Rachel Marques,CE,PT,1,0,Não,SUPLENTE,0.00,0.2,0.0,0.3,0.0
461,Rafael Motta,RN,PSB,4,3,Sim,TITULAR,106080.62,4.1,3.1,4.2,6.4
462,Rafafá,PB,PSDB,1,0,Não,SUPLENTE,0.00,0.8,0.0,1.2,9.1
463,Raimundo Costa,BA,PODE,2,3,Sim,TITULAR,228934.96,2.3,1.3,1.5,6.4
464,Raul Henry,PE,MDB,2,3,Sim,TITULAR,159366.29,2.2,1.3,2.1,0.9
465,Reginaldo Lopes,MG,PT,5,3,Sim,TITULAR,216166.88,6.5,4.0,7.0,8.2
466,Reinhold Stephanes Junior,PR,PSD,2,3,Não,TITULAR,81171.58,3.1,1.3,2.1,5.5
467,Rejane Dias,PI,PT,5,3,Sim,TITULAR,165489.57,7.0,4.2,6.4,7.3
468,Renata Abreu,SP,PODE,4,3,Não,TITULAR,140512.00,5.5,1.6,4.8,3.6
469,Renildo Calheiros,PE,PCdoB,3,3,Sim,TITULAR,163150.45,4.2,1.6,2.7,10.0
470,Ricardo Barros,PR,PP,3,3,Sim,TITULAR,122646.42,2.6,0.9,4.2,7.3
471,Ricardo da Karol,RJ,PDT,1,1,Sim,SUPLENTE,185240.80,0.7,0.0,0.6,9.1
472,Ricardo Guidi,SC,PSD,2,3,Sim,TITULAR,152356.02,2.2,0.5,1.2,8.2
473,Ricardo Izar,SP,REPUBLICANOS,4,3,Sim,TITULAR,177454.19,4.7,2.5,5.5,0.9
474,Ricardo Pericar,RJ,UNIÃO,1,0,Não,SUPLENTE,0.00,0.7,0.0,0.9,10.0
475,Ricardo Silva,SP,PSD,3,2,Sim,SUPLENTE,211167.33,4.8,2.5,3.3,0.9
476,Ricardo Teobaldo,PE,PODE,2,3,Sim,TITULAR,219037.57,1.8,1.1,1.2,5.5
477,Robério Monteiro,CE,PDT,2,3,Sim,TITULAR,215732.82,1.9,0.0,1.5,6.4
478,Roberto Alves,SP,REPUBLICANOS,3,3,Sim,TITULAR,136110.68,3.9,1.6,2.7,10.0
479,Roberto de Lucena,SP,REPUBLICANOS,4,3,Sim,TITULAR,220328.24,5.6,0.5,6.4,4.5
480,Roberto Pessoa,CE,PSDB,3,1,Não,TITULAR,0.00,2.7,1.1,4.5,10.0
481,Rodrigo Agostinho,SP,PSB,5,3,Sim,TITULAR,205417.72,7.4,3.3,4.5,0.9
482,Rodrigo Coelho,SC,PODE,3,3,Sim,TITULAR,92855.29,4.3,1.5,5.8,0.9
483,Rodrigo de Castro,MG,UNIÃO,2,3,Sim,TITULAR,206322.13,3.3,0.2,3.0,6.4
484,Rodrigo Maia,RJ,S.PART.,2,2,Não,TITULAR,0.00,1.5,1.8,0.9,0.9
485,Rogério Correia,MG,PT,5,3,Sim,TITULAR,182576.80,6.3,2.5,8.8,9.1
486,Rogério Peninha Mendonça,SC,MDB,2,3,Sim,TITULAR,144075.51,3.0,0.2,2.4,0.9
487,Ronaldo Carletto,BA,PP,3,3,Sim,TITULAR,186296.76,2.2,2.9,1.5,10.0
488,Ronaldo Martins,CE,REPUBLICANOS,1,1,Não,SUPLENTE,0.00,0.6,0.4,0.9,10.0
489,Rosana Valle,SP,PL,3,3,Sim,TITULAR,186864.44,4.0,2.2,4.2,0.9
490,Rosangela Gomes,RJ,REPUBLICANOS,2,3,Sim,TITULAR,216407.58,2.6,1.5,2.4,5.5
491,Rose Modesto,MS,UNIÃO,3,3,Sim,TITULAR,141490.87,3.9,1.5,3.6,0.9
492,Rubens Bueno,PR,CIDADANIA,4,3,Sim,TITULAR,206904.79,5.5,2.2,3.3,2.7
493,Rubens Otoni,GO,PT,5,3,Sim,TITULAR,213243.08,5.8,3.5,5.8,10.0
494,Rubens Pereira Júnior,MA,PT,3,3,Sim,TITULAR,213565.13,4.0,0.4,2.4,9.1
495,Rui Falcão,SP,PT,3,3,Sim,TITULAR,204895.98,3.4,2.2,5.5,9.1
496,Ruy Carneiro,PB,PSC,2,3,Sim,TITULAR,174399.38,2.6,1.1,1.8,2.7
497,Sâmia Bomfim,SP,PSOL,4,3,Sim,TITULAR,160581.64,5.8,2.7,6.4,10.0
498,Samuel Moreira,SP,PSDB,2,3,Sim,TITULAR,162392.46,2.8,1.3,2.1,0.9
499,Sanderson,RS,PL,5,3,Sim,TITULAR,208960.03,7.0,2.2,5.2,8.2
500,Santini,RS,PTB,3,2,Não,TITULAR,0.00,3.0,0.5,4.8,9.1
501,Sargento Fahur,PR,PSD,2,3,Sim,TITULAR,112264.66,2.7,1.5,1.5,0.9
502,Schiavinato,PR,PP,3,2,Não,TITULAR,0.00,2.6,1.3,2.4,10.0
503,Sebastião Oliveira,PE,AVANTE,2,3,Sim,TITULAR,249305.41,2.3,0.2,2.1,9.1
504,Sérgio Brito,BA,PSD,2,3,Sim,TITULAR,193212.21,1.4,0.0,1.5,9.1
505,Sergio Souza,PR,MDB,3,3,Sim,TITULAR,247497.51,3.1,1.5,3.3,6.4
506,Sergio Toledo,AL,PV,2,3,Sim,TITULAR,173371.73,2.3,0.7,1.5,8.2
507,Sergio Vidigal,ES,PDT,3,1,Não,TITULAR,0.00,2.7,1.5,4.5,7.3
508,Severino Pessoa,AL,MDB,2,3,Sim,TITULAR,181355.62,2.4,0.2,1.8,8.2
509,Shéridan,RR,PSDB,2,3,Sim,TITULAR,194836.38,3.5,0.4,2.4,3.6
510,Sidney Leite,AM,PSD,3,3,Sim,TITULAR,198344.45,3.3,3.3,3.0,2.7
511,Silas Câmara,AM,REPUBLICANOS,3,3,Sim,TITULAR,189341.47,3.1,2.2,3.0,8.2
512,Silvia Cristina,RO,PL,2,3,Sim,TITULAR,261875.87,3.0,0.5,3.3,0.9
513,Silvio Costa Filho,PE,REPUBLICANOS,3,3,Sim,TITULAR,223890.28,3.1,1.1,3.6,6.4
514,Simplício Araújo,MA,SOLIDARIEDADE,1,1,Não,SUPLENTE,0.00,0.7,0.4,0.3,0.0
515,Soraya Santos,RJ,PL,3,3,Sim,TITULAR,148749.38,3.9,1.5,3.0,6.4
516,Sóstenes Cavalcante,RJ,PL,3,3,Sim,TITULAR,181041.39,4.2,1.8,2.1,3.6
517,Stefano Aguiar,MG,PSD,2,3,Sim,TITULAR,174799.65,1.8,2.0,0.9,6.4
518,Subtenente Gonzaga,MG,PSD,4,3,Sim,TITULAR,203513.15,5.8,2.0,4.8,2.7
519,Tabata Amaral,SP,PSB,5,3,Sim,TITULAR,166086.31,7.5,4.0,6.7,0.9
520,Tadeu Alencar,PE,PSB,4,3,Sim,TITULAR,200659.07,3.9,3.3,4.2,7.3
521,Talíria Petrone,RJ,PSOL,5,3,Sim,TITULAR,174329.77,7.2,2.9,6.4,9.1
522,Ted Conti,ES,PSB,3,3,Não,SUPLENTE,93449.72,3.4,1.6,3.9,2.7
523,Tereza Cristina,MS,PP,1,3,Sim,TITULAR,53470.62,0.5,0.5,0.9,10.0
524,Tereza Nelma,AL,PSD,4,3,Sim,TITULAR,222698.46,5.0,2.7,7.0,0.9
525,Tia Eron,BA,REPUBLICANOS,2,1,Não,SUPLENTE,101052.38,2.0,0.5,1.8,10.0
526,Tiago Dimas,TO,PODE,3,3,Sim,TITULAR,203005.93,3.9,1.6,3.3,6.4
527,Tiago Mitraud,MG,NOVO,4,3,Sim,TITULAR,14947.70,4.2,3.5,5.2,10.0
528,Tiririca,SP,PL,2,3,Sim,TITULAR,132697.80,2.2,1.3,0.9,0.9
529,Tito,BA,AVANTE,2,3,Sim,TITULAR,180492.77,2.0,1.1,1.5,4.5
530,Toninho Wandscheer,PR,PROS,2,3,Sim,TITULAR,196124.75,2.3,0.7,1.8,7.3
531,Totonho Lopes,CE,PDT,1,0,Não,SUPLENTE,0.00,0.7,0.0,1.2,10.0
532,Túlio Gadêlha,PE,REDE,4,3,Sim,TITULAR,234537.32,5.1,2.7,5.5,0.9
533,Uldurico Junior,BA,MDB,2,3,Sim,TITULAR,161424.03,1.9,1.3,1.2,4.5
534,Vaidon Oliveira,CE,UNIÃO,2,3,Não,TITULAR,201655.20,1.6,0.9,1.5,6.4
535,Valdevan Noventa,SE,PL,2,3,Não,TITULAR,127627.24,2.0,0.9,1.5,0.9
536,Valmir Assunção,BA,PT,3,3,Sim,TITULAR,171461.01,4.2,2.4,4.2,8.2
537,Valtenir Pereira,MT,MDB,3,3,Não,SUPLENTE,149329.03,3.0,1.1,2.7,8.2
538,Vander Loubet,MS,PT,3,3,Sim,TITULAR,187602.12,3.1,3.5,4.8,7.3
539,Vanderlei Macris,SP,PSDB,2,3,Sim,TITULAR,189653.29,2.5,0.7,1.2,0.9
540,Vavá Martins,PA,REPUBLICANOS,2,3,Sim,TITULAR,146675.45,2.7,0.4,2.1,8.2
541,Vermelho,PR,PL,2,3,Sim,TITULAR,193947.44,3.0,0.5,2.1,8.2
542,Vicentinho,SP,PT,4,3,Sim,TITULAR,208585.98,3.9,4.2,4.5,9.1
543,Vicentinho Júnior,TO,PP,3,3,Sim,TITULAR,208093.13,3.0,0.2,3.0,10.0
544,Victor Mendes,MA,MDB,1,0,Sim,SUPLENTE,169482.13,0.5,0.4,0.6,10.0
545,Vilson da Fetaemg,MG,PSB,3,3,Sim,TITULAR,164309.06,4.5,0.5,4.5,7.3
546,Vinicius Carvalho,SP,REPUBLICANOS,3,3,Sim,TITULAR,199163.88,4.7,1.1,2.4,9.1
547,Vinicius Farah,RJ,UNIÃO,3,3,Sim,TITULAR,80381.22,3.4,1.8,3.6,8.2
548,Vinicius Gurgel,AP,PL,2,3,Sim,TITULAR,86606.20,1.3,0.9,1.2,10.0
549,Vinicius Poit,SP,NOVO,3,3,Sim,TITULAR,95625.81,3.5,2.7,3.9,10.0
550,Vitor Hugo,GO,PL,3,3,Sim,TITULAR,183167.76,5.0,0.7,3.6,9.1
551,Vitor Lippi,SP,PSDB,3,3,Sim,TITULAR,202460.70,3.6,1.3,4.8,3.6
552,Vivi Reis,PA,PSOL,3,1,Sim,SUPLENTE,191030.21,2.5,2.5,4.5,10.0
553,Waldenor Pereira,BA,PT,4,3,Sim,TITULAR,181412.59,3.4,3.6,5.2,8.2
554,Walter Alves,RN,MDB,3,3,Sim,TITULAR,236037.70,2.7,1.6,2.1,9.1
555,Weliton Prado,MG,PROS,3,3,Sim,TITULAR,160233.58,4.0,1.6,3.0,0.9
556,Wellington Roberto,PB,PL,3,3,Sim,TITULAR,201303.11,2.8,1.6,2.4,10.0
557,Wilson Santiago,PB,REPUBLICANOS,3,3,Sim,TITULAR,185791.93,4.1,0.9,3.9,8.2
558,Wladimir Garotinho,RJ,PSD,2,1,Não,TITULAR,0.00,2.3,1.1,1.8,8.2
559,Wolney Queiroz,PE,PDT,4,0,Sim,,178200.94,4.2,4.0,3.3,9.1
560,Zé Augusto Nalin,RJ,UNIÃO,1,3,Não,TITULAR,0.00,0.5,0.0,1.2,10.0
561,Zé Carlos,MA,PT,3,0,Sim,SUPLENTE,202104.20,3.1,2.0,6.4,7.3
562,Zé Neto,BA,PT,3,3,Sim,TITULAR,194548.14,4.2,1.1,5.5,7.3
563,Zé Silva,MG,SOLIDARIEDADE,3,3,Sim,TITULAR,200186.83,4.3,0.5,3.6,6.4
564,Zé Vitor,MG,PL,4,3,Sim,TITULAR,173555.32,5.8,1.8,4.5,6.4
565,Zeca Dirceu,PR,PT,3,3,Sim,TITULAR,200886.76,3.2,3.1,4.5,8.2
